,HomeTeam,AwayTeam,FTR,PredictedFTR
498,Tottenham,Arsenal,NH,NH
499,Everton,Chelsea,NH,H
500,Ipswich,Bolton,NH,H
501,Sunderland,Leeds,H,NH
502,Charlton,West Ham,NH,H
503,Bolton,Fulham,NH,NH
504,Chelsea,Blackburn,NH,H
505,Leicester,Everton,NH,NH
506,Newcastle,Derby,H,NH
507,Southampton,Charlton,H,NH
508,West Ham,Tottenham,NH,NH
509,Arsenal,Man United,H,NH
510,Leeds,Aston Villa,NH,H
511,Liverpool,Sunderland,H,NH
512,Middlesbrough,Ipswich,NH,H
513,Aston Villa,Leicester,NH,NH
514,Blackburn,Middlesbrough,NH,NH
515,Charlton,Newcastle,NH,NH
516,Derby,Liverpool,NH,NH
517,Ipswich,Arsenal,NH,H
518,Man United,Chelsea,NH,H
519,Sunderland,West Ham,H,H
520,Everton,Southampton,H,NH
521,Fulham,Leeds,NH,H
522,Tottenham,Bolton,H,H
523,Chelsea,Charlton,NH,NH
524,West Ham,Aston Villa,NH,NH
525,Charlton,Tottenham,H,H
526,Derby,Bolton,H,H
527,Fulham,Everton,H,NH
528,Leicester,Southampton,NH,H
529,Liverpool,Middlesbrough,H,H
530,Man United,West Ham,NH,NH
531,Arsenal,Aston Villa,H,H
532,Blackburn,Leeds,NH,NH
533,Ipswich,Newcastle,NH,NH
534,Sunderland,Chelsea,NH,H
535,Liverpool,Fulham,NH,H
536,Man United,Derby,H,H
537,Bolton,Charlton,NH,NH
538,Everton,Derby,H,NH
539,Middlesbrough,Man United,NH,H
540,Newcastle,Blackburn,H,H
541,Southampton,Sunderland,H,H
542,Tottenham,Fulham,H,NH
543,West Ham,Arsenal,NH,H
544,Chelsea,Liverpool,H,H
545,Leeds,Leicester,NH,NH
546,Aston Villa,Ipswich,H,H
547,Arsenal,Newcastle,NH,NH
548,Leeds,Everton,H,H
549,Charlton,Blackburn,NH,NH
550,Derby,Aston Villa,H,H
551,Leeds,Newcastle,NH,NH
552,Leicester,West Ham,NH,H
553,Man United,Southampton,H,H
554,Sunderland,Everton,H,H
555,Tottenham,Ipswich,NH,H
556,Chelsea,Bolton,H,H
557,Liverpool,Arsenal,NH,NH
558,Arsenal,Chelsea,H,H
559,Aston Villa,Liverpool,NH,NH
560,Blackburn,Sunderland,NH,NH
561,Bolton,Leeds,NH,H
562,Everton,Man United,NH,NH
563,Fulham,Charlton,NH,NH
564,Ipswich,Leicester,H,H
565,Newcastle,Middlesbrough,H,H
566,Southampton,Tottenham,H,H
567,West Ham,Derby,H,NH
568,Arsenal,Middlesbrough,H,H
569,Aston Villa,Tottenham,NH,NH
570,Blackburn,Derby,NH,NH
571,Bolton,Leicester,NH,H
572,Everton,Charlton,NH,NH
573,Ipswich,Sunderland,H,H
574,Newcastle,Chelsea,NH,H
575,Southampton,Leeds,NH,NH
576,West Ham,Liverpool,NH,NH
577,Fulham,Man United,NH,NH
578,Charlton,Ipswich,H,NH
579,Chelsea,Southampton,NH,NH
580,Leeds,West Ham,H,NH
581,Liverpool,Bolton,NH,H
582,Middlesbrough,Everton,H,H
583,Sunderland,Aston Villa,NH,NH
584,Tottenham,Blackburn,H,H
585,Derby,Fulham,NH,H
586,Man United,Newcastle,H,H
587,Southampton,Liverpool,H,NH
588,Aston Villa,Derby,H,NH
589,Blackburn,Charlton,H,NH
590,Bolton,Chelsea,NH,H
591,Everton,Sunderland,H,NH
592,Fulham,Middlesbrough,H,H
593,Ipswich,Tottenham,H,NH
594,Newcastle,Leeds,H,H
595,West Ham,Leicester,H,NH
596,Arsenal,Liverpool,NH,H
597,Southampton,Man United,NH,NH
598,Derby,Ipswich,NH,H
599,Leicester,Newcastle,NH,H
600,Liverpool,Southampton,NH,NH
601,Man United,Blackburn,H,H
602,Middlesbrough,Bolton,NH,NH
603,Sunderland,Fulham,NH,H
604,Tottenham,Everton,NH,H
605,Chelsea,West Ham,H,NH
606,Leeds,Arsenal,NH,H
607,Charlton,Aston Villa,NH,H
608,Man United,Liverpool,NH,H
609,Leicester,Arsenal,NH,H
610,Bolton,Man United,NH,H
611,Charlton,Derby,H,NH
612,Sunderland,Middlesbrough,NH,H
613,Aston Villa,Everton,NH,NH
614,Blackburn,Arsenal,NH,H
615,Chelsea,Leeds,H,NH
616,Ipswich,Fulham,H,H
617,Liverpool,Leicester,H,NH
618,Southampton,West Ham,H,H
619,Tottenham,Newcastle,NH,NH
620,Arsenal,Southampton,NH,NH
621,Derby,Tottenham,H,H
622,Everton,Ipswich,NH,NH
623,Fulham,Aston Villa,NH,H
624,Leicester,Chelsea,NH,NH
625,Man United,Sunderland,H,H
626,Newcastle,Bolton,H,H
627,West Ham,Blackburn,H,H
628,Leeds,Liverpool,NH,H
629,Middlesbrough,Charlton,NH,NH
630,Aston Villa,Chelsea,NH,NH
631,Bolton,West Ham,H,H
632,Derby,Sunderland,NH,NH
633,Fulham,Blackburn,H,NH
634,Ipswich,Liverpool,NH,NH
635,Middlesbrough,Leeds,NH,H
636,Newcastle,Southampton,H,NH
637,Tottenham,Leicester,H,NH
638,Charlton,Man United,NH,H
639,Everton,Arsenal,NH,NH
640,Middlesbrough,Fulham,H,NH
641,Arsenal,Fulham,H,H
642,Leicester,Derby,NH,H
643,Liverpool,Everton,NH,NH
644,Man United,Aston Villa,H,H
645,Southampton,Bolton,NH,H
646,West Ham,Middlesbrough,H,NH
647,Leeds,Charlton,NH,NH
648,Sunderland,Newcastle,NH,H
649,Aston Villa,West Ham,H,NH
650,Bolton,Blackburn,NH,NH
651,Charlton,Chelsea,H,NH
652,Fulham,Liverpool,NH,NH
653,Ipswich,Southampton,NH,NH
654,Middlesbrough,Leicester,H,NH
655,Newcastle,Arsenal,NH,NH
656,Tottenham,Sunderland,H,H
657,Derby,Man United,NH,H
658,Everton,Leeds,NH,NH
659,Arsenal,Derby,H,H
660,Blackburn,Aston Villa,H,NH
661,Sunderland,Bolton,H,NH
662,Chelsea,Fulham,H,NH
663,Leeds,Ipswich,H,H
664,Liverpool,Newcastle,H,NH
665,Man United,Tottenham,H,H
666,Southampton,Middlesbrough,NH,H
667,West Ham,Everton,H,NH
668,Leicester,Charlton,NH,H
669,Blackburn,Ipswich,H,NH
670,Chelsea,Tottenham,H,NH
671,Bolton,Derby,NH,NH
672,Chelsea,Sunderland,H,H
673,Everton,Fulham,H,NH
674,Middlesbrough,Liverpool,NH,NH
675,Newcastle,Ipswich,NH,NH
676,Southampton,Leicester,NH,NH
677,West Ham,Man United,NH,NH
678,Aston Villa,Arsenal,NH,H
679,Leeds,Blackburn,H,H
680,Tottenham,Charlton,NH,NH
681,Charlton,Bolton,NH,H
682,Derby,Everton,NH,H
683,Ipswich,Aston Villa,NH,NH
684,Leicester,Leeds,NH,H
685,Man United,Middlesbrough,NH,NH
686,Sunderland,Southampton,NH,NH
687,Fulham,Tottenham,NH,NH
688,Liverpool,Chelsea,H,NH
689,Newcastle,Everton,H,H
690,Arsenal,Sunderland,H,NH
691,Bolton,Aston Villa,H,NH
692,Chelsea,Derby,H,H
693,Leeds,Man United,NH,NH
694,Leicester,Blackburn,H,H
695,Liverpool,Charlton,H,NH
696,Middlesbrough,Tottenham,NH,NH
697,Southampton,Fulham,NH,H
698,West Ham,Ipswich,H,NH
699,Blackburn,Southampton,H,H
700,Charlton,Arsenal,NH,H
701,Derby,Middlesbrough,NH,H
702,Everton,Bolton,H,NH
703,Fulham,West Ham,NH,NH
704,Ipswich,Chelsea,NH,NH
705,Sunderland,Leicester,H,H
706,Tottenham,Leeds,H,H
707,Aston Villa,Newcastle,NH,NH
708,Arsenal,Tottenham,H,H
709,Bolton,Ipswich,H,NH
710,Chelsea,Everton,H,NH
711,Leicester,Man United,NH,H
712,Middlesbrough,Aston Villa,H,H
713,Southampton,Derby,H,H
714,West Ham,Charlton,H,NH
715,Leeds,Sunderland,H,H
716,Newcastle,Fulham,NH,NH
717,Blackburn,Chelsea,NH,NH
718,Aston Villa,Leeds,NH,NH
719,Charlton,Southampton,NH,NH
720,Derby,Newcastle,NH,NH
721,Everton,Leicester,NH,H
722,Sunderland,Liverpool,NH,H
723,Tottenham,West Ham,NH,NH
724,Bolton,Tottenham,NH,H
725,Chelsea,Man United,NH,NH
726,Leeds,Fulham,NH,NH
727,Leicester,Aston Villa,NH,NH
728,Liverpool,Derby,H,NH
729,Middlesbrough,Blackburn,NH,NH
730,Newcastle,Charlton,H,NH
731,Southampton,Everton,NH,NH
732,West Ham,Sunderland,H,H
733,Arsenal,Ipswich,H,H
734,Blackburn,Newcastle,NH,NH
735,Fulham,Bolton,H,H
736,Arsenal,West Ham,H,H
737,Ipswich,Middlesbrough,H,NH
